genepop_2014.txt
L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12
Pop
OtsAC17NSNT_2869 ,  220228 138138 170230 238258 152164 230246 205209 312376 229233 153185 193193 201237
OtsAC17NSNT_3006 ,  220220 138164 186222 242242 142152 222222 229229 244316 205287 187191 177177 219233
OtsAC17NSNT_3071 ,  222228 134160 190218 258258 138146 250266 185245 296352 193237 115203 189189 199221
OtsAC17NSNT_3098 ,  220222 134154 170238 234262 146152 266288 205209 188288 233283 161191 177193 233237
OtsAC17NSNT_3131 ,  212220 138164 182222 226278 152152 206250 229229 312356 205233 187219 177193 201233
OtsAC17NSNT_3163 ,  220222 154154 222222 238242 138164 250266 181181 308316 237299 177191 177177 205227
OtsAC17NSNT_3175 ,  222222 138138 166206 238262 142164 238240 233277 348406 205229 189207 161193 201221
OtsAC18NSNT_0004 ,  220236 154154 230234 270278 142152 250250 173233 292336 205205 115181 177193 203205
OtsAC18NSNT_0012 ,  220220 154166 222230 254270 152152 236248 237261 308348 205237 191227 177189 199227
OtsAC18NSNT_0021 ,  206220 138156 170186 242278 152172 258270 177269 304336 189193 209235 165177 201203
OtsAC18NSNT_0024 ,  206220 138154 206222 234242 142164 226270 237269 348360 213233 115115 177217 199201
OtsAC18NSNT_0034 ,  222236 154160 198230 262266 138152 248250 237249 328352 189193 161169 177177 199201
OtsAC18NSNT_0037 ,  220228 138138 186222 242278 152184 234242 233269 316316 205233 139235 165177 207233
OtsAC18NSNT_0039 ,  222236 134154 222230 258274 156204 234266 233281 320320 205229 115241 177193 201219
OtsAC18NSNT_0057 ,  220222 138154 170226 278282 152168 240274 173261 316340 237237 177197 165193 199237
OtsAC18NSNT_0065 ,  206228 154154 170230 234238 142168 214240 209317 296320 193205 161193 189193 193193
OtsAC18NSNT_0073 ,  206236 154154 202230 238286 146164 240244 245317 188236 221229 157181 177197 193207
OtsAC18NSNT_0075 ,  218224 138154 170186 242258 160172 234286 177277 316336 205233 197199 177197 219233
OtsAC18NSNT_0079 ,  228236 138154 230234 250250 152164 214266 213253 336426 193193 197201 193193 201237
OtsAC18NSNT_0082 ,  214222 154162 190198 250270 146152 222282 205241 312340 197229 115189 193217 201203
OtsAC18NSNT_0088 ,  218220 138154 170186 242278 134160 234286 241269 316394 189233 197209 177197 203219
OtsAC18NSNT_0090 ,  220220 154154 222234 238242 164164 250266 181237 308410 205237 177191 177189 233233
OtsAC18NSNT_0112 ,  222228 138156 186226 278290 138200 274282 225233 320348 237291 191253 193193 201205
OtsAC18NSNT_0113 ,  220222 138138 230234 250282 134184 214230 225257 240244 221233 157231 193197 221237
OtsAC18NSNT_0124 ,  222236 154154 202230 234238 146164 230250 245317 188236 213229 181189 177177 193221
