Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
OtsAC19NSNT_0003,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_460,12,12,0, 1.65628581172868E+0001, 1.65628581172868E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1310,11,11,1, 1.17246337877003E+0001, 1.17246337877003E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1366,12,12,2, 6.34764400483775E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2117,12,12,2, 1.74871991159259E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0004,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1612,12,12,2, 4.29927649773560E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0005,12,,0,0,0, 0.00000000000000E+0000,
OtsAC19NSNT_0006,12,,0,0,0, 0.00000000000000E+0000,OtsAC14NSNT_1337,12,12,0, 1.95831558835178E+0001, 1.95831558835178E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_BD_082,12,12,0, 1.64230241847083E+0001, 1.64230241847083E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1743,12,12,0, 8.90740461895546E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0010,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1413,12,12,2, 1.65828818299488E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0012,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1014,12,12,0, 1.62490543884945E+0001, 1.62490543884945E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,NS_15_OP_AD_271,12,12,1, 9.86918213712071E+0000, 9.86918213712071E+0000,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1125,12,12,2, 2.45374934412885E+0000, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0013,12,,0,0,0, 0.00000000000000E+0000,NS_OP_14_0021,12,12,3, 1.99691859078372E-0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC15NSNT_1034,12,12,0, 1.92195794105503E+0001, 1.92195794105503E+0001,*,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_1205,12,12,1, 1.05796397811567E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
OtsAC19NSNT_0014,12,,0,0,0, 0.00000000000000E+0000,OtsAC16NSNT_2379,12,12,1, 1.00078228785600E+0001, 0.00000000000000E+0000,,0,0, 0.00000000000000E+0000, 0.00000000000000E+0000,,
